"id","price","shape","weight","color","clarity","cut","polish","symmetry","fluroscence","certificate","lab","stock","supplier_id","location","imageLink","created_at","updated_at"
34,2204,"RD",0.53,"F","VS1","EX","EX","EX","NONE",6252586375,"GIA","BH-3A",NULL,"HK","http://segoma.com/v.php?type=view&id=E0YD72KX22",NULL,NULL
35,1433,"RD",0.56,"F","VS1","EX","EX","EX","NONE",7251318924,"GIA","BF2-3D",NULL,"HK","http://segoma.com/v.php?type=view&id=T5WTROEDXX",NULL,NULL
36,1584,"RD",0.5,"F","SI1","EX","EX","EX","NONE",7256586794,"GIA","BH-20B",NULL,"HK","http://segoma.com/v.php?type=view&id=QSMIKN3NRR",NULL,NULL
37,1616,"RD",0.51,"F","SI1","EX","VG","VG","NONE",2256392748,"GIA","BF2-4J",NULL,"HK","http://segoma.com/v.php?type=view&id=RE1W8GHB00",NULL,NULL
38,1142,"RD",0.51,"F","SI1","EX","EX","EX","NONE",1258422128,"GIA","BG-4D",NULL,"HK","http://segoma.com/v.php?type=view&id=STL9EZW22",NULL,NULL
39,1065,"RD",0.52,"F","SI1","EX","EX","EX","FAINT",1253258602,"GIA","BF1-2C",NULL,"HK","http://segoma.com/v.php?type=view&id=HM9QZ3IESS",NULL,NULL
40,720,"RD",0.5,"F","I1","EX","EX","EX","NONE",6255353795,"GIA","BF2-6F",NULL,"HK","http://segoma.com/v.php?type=view&id=RNTXTM12AA",NULL,NULL
41,1030,"RD",0.52,"F","I1","EX","EX","EX","NONE",7258466899,"GIA","BF2-9N",NULL,"HK","http://segoma.com/v.php?type=view&id=9M3XRLHR44",NULL,NULL
42,1049,"RD",0.53,"F","I1","EX","EX","EX","NONE",1253388253,"GIA","BF1-1C",NULL,"HK","http://segoma.com/v.php?type=view&id=V7PSGW1R22",NULL,NULL
43,2370,"RD",0.57,"G","VVS2","EX","EX","EX","NONE",3255477114,"GIA","BF2-4B",NULL,"HK","http://segoma.com/v.php?type=view&id=5O1IILTKPP",NULL,NULL
44,1309,"RD",0.56,"G","VS2","EX","EX","EX","NONE",1258258608,"GIA","BF2-3B",NULL,"HK","http://segoma.com/v.php?type=view&id=EBZ0X9A288",NULL,NULL
45,1238,"RD",0.5,"G","SI2","EX","EX","EX","NONE",6252527887,"GIA","BH-20A",NULL,"HK","http://segoma.com/v.php?type=view&id=N0Q0F6N288",NULL,NULL
46,1307,"RD",0.51,"H","IF","EX","EX","EX","NONE",7253065488,"GIA","BE1-9G",NULL,"HK","http://segoma.com/v.php?type=view&id=GRUGU48T11",NULL,NULL
47,1784,"RD",0.53,"H","VS2","EX","EX","EX","NONE",5256475937,"GIA","BH-25",NULL,"HK","http://segoma.com/v.php?type=view&id=WMXDXVMFF",NULL,NULL
48,1070,"RD",0.52,"H","SI1","EX","EX","EX","NONE",6251205994,"GIA","BF1-11C",NULL,"HK","http://segoma.com/v.php?type=view&id=3WULHPZS33",NULL,NULL
49,840,"RD",0.53,"I","I1","EX","EX","EX","NONE",1259586180,"GIA","BF2-8G",NULL,"HK","http://segoma.com/v.php?type=view&id=FU2NB1LCBB",NULL,NULL
50,1024,"RD",0.52,"J","IF","EX","EX","EX","NONE",6245867872,"GIA","BB-30A",NULL,"HK","http://segoma.com/v.php?type=view&id=GSNQ0YCY11",NULL,NULL
51,607,"RD",0.51,"L","SI1","EX","EX","EX","NONE",1243801380,"GIA","BC2-14B",NULL,"HK","http://segoma.com/v.php?type=view&id=HX2XO6ZQJJ",NULL,NULL
52,3422,"RD",0.65,"D","IF","EX","EX","EX","NONE",7248666230,"GIA","BC2-6L",NULL,"HK","http://segoma.com/v.php?type=view&id=7TIZ877HDD",NULL,NULL
53,1405,"RD",0.61,"D","SI1","EX","EX","EX","FAINT",7246716908,"GIA","BC2-3A",NULL,"HK","http://segoma.com/v.php?type=view&id=JNR458LTMM",NULL,NULL
54,2536,"RD",0.61,"G","VVS2","EX","EX","EX","NONE",7252476457,"GIA","BF2-4",NULL,"HK","http://segoma.com/v.php?type=view&id=W9F8X013DD",NULL,NULL
55,3461,"RD",0.7,"D","VVS1","EX","EX","EX","NONE",7241678452,"GIA","BC2-6H",NULL,"HK","http://segoma.com/v.php?type=view&id=YC01HEW4QQ",NULL,NULL
56,2117,"RD",0.7,"D","VS2","EX","VG","EX","MEDIUM",2256258615,"GIA","BF1-12G",NULL,"HK","http://segoma.com/v.php?type=view&id=AE9M5O2LLL",NULL,NULL
57,2035,"RD",0.7,"D","SI1","EX","EX","EX","NONE",2244866325,"GIA","BD2-5C",NULL,"HK","http://segoma.com/v.php?type=view&id=MK0PTT8ZAA",NULL,NULL
58,1659,"RD",0.7,"D","I1","EX","EX","EX","NONE",2257318973,"GIA","BG-12A",NULL,"HK","http://segoma.com/v.php?type=view&id=SZV0KVWTWW",NULL,NULL
59,3507,"RD",0.7,"E","IF","EX","EX","EX","NONE",7248604589,"GIA","BB-8B",NULL,"HK","http://segoma.com/v.php?type=view&id=6NHVXMXWHH",NULL,NULL
60,2223,"RD",0.76,"E","SI1","EX","EX","EX","NONE",6241716941,"GIA","BB-25",NULL,"HK","http://segoma.com/v.php?type=view&id=V1P9XJF6NN",NULL,NULL
61,1340,"RD",0.7,"E","I1","EX","VG","EX","NONE",7241663625,"GIA","AW-27A",NULL,"HK","http://segoma.com/v.php?type=view&id=XW9OL0WHH",NULL,NULL
62,1902,"RD",0.71,"F","VS2","VG","EX","EX","NONE",3255131964,"GIA","BF1-13A",NULL,"HK","http://segoma.com/v.php?type=view&id=GYE07LPBRR",NULL,NULL
63,2426,"RD",0.7,"F","SI2","EX","VG","EX","NONE",2256558621,"GIA","BF2-12A",NULL,"HK","http://segoma.com/v.php?type=view&id=W7N6SSV3EE",NULL,NULL
64,2287,"RD",0.7,"G","SI2","EX","EX","EX","NONE",7258527736,"GIA","BG-6C",NULL,"HK","http://segoma.com/v.php?type=view&id=KYPGYBQ1SS",NULL,NULL
65,2352,"RD",0.72,"G","SI2","EX","EX","EX","NONE",1259527813,"GIA","BG-8D",NULL,"HK","http://segoma.com/v.php?type=view&id=FFCY0JSVV",NULL,NULL
66,3035,"RD",0.73,"H","VS2","EX","EX","EX","NONE",6252558807,"GIA","BH-22A",NULL,"HK","http://segoma.com/v.php?type=view&id=WC0339L8QQ",NULL,NULL
67,1031,"RD",0.71,"I","I1","EX","EX","EX","NONE",1225605022,"GIA","AK2-12A",NULL,"HK","http://segoma.com/v.php?type=view&id=HZ2814IJHH",NULL,NULL
68,1301,"RD",0.73,"J","SI1","EX","EX","EX","NONE",6252422096,"GIA","BG-11B",NULL,"HK","http://segoma.com/v.php?type=view&id=XMG6W81UHH",NULL,NULL
69,958,"RD",0.7,"K","VS2","VG","VG","EX","NONE",6232262244,"GIA","AO4-12A",NULL,"HK","http://segoma.com/v.php?type=view&id=HV01X3LZWW",NULL,NULL
70,1025,"RD",0.73,"L","VVS1","EX","EX","EX","MEDIUM",2246604595,"GIA","BB-37",NULL,"HK","http://segoma.com/v.php?type=view&id=QQJL4YJC66",NULL,NULL
71,1843,"RD",0.83,"D","I1","EX","EX","EX","NONE",6245397265,"GIA","AV-12D",NULL,"HK","http://segoma.com/v.php?type=view&id=70R5IP4RQQ",NULL,NULL
72,2296,"RD",0.81,"E","SI1","EX","EX","EX","MED YELLOW",7241663637,"GIA","BB-25A",NULL,"HK","http://segoma.com/v.php?type=view&id=95U4MML4VV",NULL,NULL
73,2394,"RD",0.8,"G","SI1","EX","EX","EX","NONE",6255258623,"GIA","BF1-1AE",NULL,"HK","http://segoma.com/v.php?type=view&id=39KDZWVIJJ",NULL,NULL
74,1848,"RD",0.8,"G","SI2","EX","EX","EX","NONE",1247921412,"GIA","BC2-4E",NULL,"HK","http://segoma.com/v.php?type=view&id=Q90J09BX88",NULL,NULL
75,1848,"RD",0.8,"G","SI2","EX","EX","EX","NONE",2244921415,"GIA","AW-6F",NULL,"HK","http://segoma.com/v.php?type=view&id=63B5W28CVV",NULL,NULL
76,2151,"RD",0.8,"I","VS1","EX","EX","EX","NONE",6242353486,"GIA","AW-24",NULL,"HK","http://segoma.com/v.php?type=view&id=2EDG018411",NULL,NULL
77,2873,"RD",0.9,"D","SI2","EX","EX","EX","MEDIUM",6241235004,"GIA","AV-11C",NULL,"HK","http://segoma.com/v.php?type=view&id=29VZCK5UFF",NULL,NULL
78,2562,"RD",0.9,"F","SI2","EX","VG","VG","NONE",5233684129,"GIA","TT-10A",NULL,"HK","http://segoma.com/v.php?type=view&id=HDHUDNQKNN",NULL,NULL
79,1763,"RD",0.9,"J","SI2","VG","EX","EX","NONE",6221548351,"GIA","AK2-10",NULL,"HK","http://segoma.com/v.php?type=view&id=SGV1EGMDD",NULL,NULL
80,1646,"RD",0.9,"K","SI2","EX","VG","EX","NONE",6232157127,"GIA","AO3-23",NULL,"HK","http://segoma.com/v.php?type=view&id=RBF9SHW544",NULL,NULL
81,8580,"RD",1,"D","VVS1","VG","EX","EX","NONE",1253169697,"GIA","BF1-9A",NULL,"HK","http://segoma.com/v.php?type=view&id=3L7M36PP",NULL,NULL
82,4998,"RD",1.01,"D","SI1","EX","EX","EX","MEDIUM",5253249359,"GIA","BF1-3",NULL,"HK","http://segoma.com/v.php?type=view&id=66LU61Y6XX",NULL,NULL
83,6499,"RD",1.25,"D","SI1","EX","EX","EX","MEDIUM",2254368498,"GIA","BF2-6C",NULL,"HK","http://segoma.com/v.php?type=view&id=KHTG81T4FF",NULL,NULL
84,5085,"RD",1.1,"D","SI2","EX","EX","EX","NONE",1243918367,"GIA","BD1-5A",NULL,"HK","http://segoma.com/v.php?type=view&id=9DMBR00PHH",NULL,NULL
85,2679,"RD",1,"D","I1","VG","VG","GD","FAINT",245629582,"IGI","BD1-2B",NULL,"HK","http://segoma.com/v.php?type=view&id=VVRTMXO5SS",NULL,NULL
86,2801,"RD",1.01,"D","I1","VG","VG","EX","MEDIUM",245629583,"IGI","BD1-2D",NULL,"HK","http://segoma.com/v.php?type=view&id=EYRPK3U1QQ",NULL,NULL
87,3116,"RD",1.02,"D","I1","EX","EX","EX","NONE",245629432,"IGI","BD1-5N",NULL,"HK","http://segoma.com/v.php?type=view&id=P1D1ZBJLCC",NULL,NULL
88,3923,"RD",1.07,"D","I1","EX","EX","EX","NONE",6242854353,"GIA","BD1-3D",NULL,"HK","http://segoma.com/v.php?type=view&id=0E2824UWBB",NULL,NULL
89,5755,"RD",1,"E","VS2","EX","EX","VG","NONE",7258022653,"GIA","BE1-8E",NULL,"HK","http://segoma.com/v.php?type=view&id=JLGTSSZULL",NULL,NULL
90,5767,"RD",1,"E","VS2","EX","EX","EX","FAINT",2244800142,"GIA","BD2-1B",NULL,"HK","http://segoma.com/v.php?type=view&id=F7BUUXM55",NULL,NULL
91,5087,"RD",1.01,"E","SI1","EX","EX","EX","NONE",1249478235,"GIA","BB-26",NULL,"HK","http://segoma.com/v.php?type=view&id=Y7H36X5RXX",NULL,NULL
92,3564,"RD",1,"E","SI2","VG","VG","GD","FAINT",6255369044,"GIA","BG-9B",NULL,"HK","http://segoma.com/v.php?type=view&id=283W9ZPEEE",NULL,NULL
93,4400,"RD",1.01,"E","SI2","EX","EX","EX","NONE",1253329759,"GIA","BG-7B",NULL,"HK","http://segoma.com/v.php?type=view&id=XNAPSMC77",NULL,NULL
94,6580,"RD",1.01,"F","VVS2","EX","EX","EX","FAINT",6252369060,"GIA","BF2-5",NULL,"HK","http://segoma.com/v.php?type=view&id=374RKOXG33",NULL,NULL
95,6127,"RD",1,"F","VS1","EX","EX","EX","FAINT",2257312243,"GIA","BF2-11",NULL,"HK","http://segoma.com/v.php?type=view&id=6PMVS6JB22",NULL,NULL
96,6404,"RD",1.02,"F","VS2","EX","EX","EX","NONE",3255249339,"GIA","BF1-14",NULL,"HK","http://segoma.com/v.php?type=view&id=HKZI8YG7YY",NULL,NULL
97,4332,"RD",1,"F","SI1","VG","VG","VG","NONE",6255169706,"GIA","BF1-4",NULL,"HK","http://segoma.com/v.php?type=view&id=V1M4RJHC66",NULL,NULL
98,4651,"RD",1.02,"F","SI1","EX","EX","EX","FAINT",2237605525,"GIA","TT-6",NULL,"HK","http://segoma.com/v.php?type=view&id=3JHVRH89FF",NULL,NULL
99,5581,"RD",1.08,"F","SI1","EX","EX","EX","NONE",5256432520,"GIA","BF1-8C",NULL,"HK","http://segoma.com/v.php?type=view&id=ZDS36FQ5NN",NULL,NULL
100,4423,"RD",1.08,"F","SI2","EX","EX","EX","NONE",1248918411,"GIA","BD1-1H",NULL,"HK","http://segoma.com/v.php?type=view&id=8LMWGONGOO",NULL,NULL
101,5749,"RD",1.25,"F","SI2","EX","EX","EX","NONE",1258312225,"GIA","BF2-1A",NULL,"HK","http://segoma.com/v.php?type=view&id=444AHJNY66",NULL,NULL
102,2684,"RD",1,"F","I1","GD","EX","VG","NONE",6242853126,"GIA","BD1-1M",NULL,"HK","http://segoma.com/v.php?type=view&id=N7E8UJ0QZZ",NULL,NULL
103,4000,"RD",1.01,"F","I1","EX","EX","EX","NONE",1258613480,"GIA","BF2-1AA",NULL,"HK","http://segoma.com/v.php?type=view&id=7DTZCMW744",NULL,NULL
104,2917,"RD",1.02,"F","I1","EX","EX","EX","NONE",1243646635,"GIA","AW-21",NULL,"HK","http://segoma.com/v.php?type=view&id=P59NLC8I44",NULL,NULL
105,2946,"RD",1.03,"F","I1","EX","EX","EX","NONE",2244800150,"GIA","BC2-1G",NULL,"HK","http://segoma.com/v.php?type=view&id=LUXI4V29OO",NULL,NULL
106,3032,"RD",1.03,"F","I1","EX","VG","EX","NONE",7252329944,"GIA","BF2-15A",NULL,"HK","http://segoma.com/v.php?type=view&id=2XKJE89E22",NULL,NULL
107,4757,"RD",1,"G","SI1","EX","EX","EX","NONE",6251432895,"GIA","BH-10A",NULL,"HK","http://segoma.com/v.php?type=view&id=INSNIO855",NULL,NULL
108,4876,"RD",1.01,"G","SI1","EX","EX","EX","NONE",6251224626,"GIA","BF1-1D",NULL,"HK","http://segoma.com/v.php?type=view&id=5M9JHFG4JJ",NULL,NULL
109,6271,"RD",1.21,"G","SI1","EX","EX","EX","NONE",2257447406,"GIA","BF2-9",NULL,"HK","http://segoma.com/v.php?type=view&id=R6HQJ23LYY",NULL,NULL
110,7029,"RD",1.32,"G","SI1","EX","EX","EX","NONE",6255432338,"GIA","BH-10",NULL,"HK","http://segoma.com/v.php?type=view&id=Z2WC6WTGNN",NULL,NULL
111,8009,"RD",1.41,"G","SI1","EX","EX","EX","NONE",6255169690,"GIA","BE2-6",NULL,"HK","http://segoma.com/v.php?type=view&id=ODGX5AVQ66",NULL,NULL
112,5111,"RD",1.22,"G","SI2","EX","EX","EX","NONE",3255517652,"GIA","BH-12",NULL,"HK","http://segoma.com/v.php?type=view&id=I7HFQYPXCC",NULL,NULL
113,2688,"RD",1,"G","I1","EX","VG","EX","NONE",6242854219,"GIA","BC2-13D",NULL,"HK","http://segoma.com/v.php?type=view&id=6464FVEZZ",NULL,NULL
114,2520,"RD",1,"G","I1","VG","EX","VG","NONE",1245716924,"GIA","BC2-11C",NULL,"HK","http://segoma.com/v.php?type=view&id=BFCRL05TPP",NULL,NULL
115,2394,"RD",1,"G","I1","VG","EX","EX","STG",2244810351,"GIA","BD2-3E",NULL,"HK","http://segoma.com/v.php?type=view&id=FL8G632555",NULL,NULL
116,2800,"RD",1.01,"G","I1","EX","EX","EX","NONE",2247747547,"GIA","BC2-13C",NULL,"HK","http://segoma.com/v.php?type=view&id=7NGMCDQE44",NULL,NULL
117,2566,"RD",1.02,"G","I1","VG","VG","VG","NONE",1245649238,"GIA","AW-48",NULL,"HK","http://segoma.com/v.php?type=view&id=8W4XOMPF55",NULL,NULL
118,3641,"RD",1.02,"G","I1","EX","EX","EX","NONE",2254388271,"GIA","BF2-9A",NULL,"HK","http://segoma.com/v.php?type=view&id=07KD7YHLFF",NULL,NULL
119,2869,"RD",1.02,"G","I1","EX","EX","EX","FAINT",5253249341,"GIA","BF1-3A",NULL,"HK","http://segoma.com/v.php?type=view&id=GRSOPZXK11",NULL,NULL
120,2869,"RD",1.02,"G","I1","EX","EX","EX","FAINT",6252299445,"GIA","BF1-2B",NULL,"HK","http://segoma.com/v.php?type=view&id=NFS0K1SQVV",NULL,NULL
121,2769,"RD",1.03,"G","I1","EX","EX","EX","NONE",2244651037,"GIA","AW-47",NULL,"HK","http://segoma.com/v.php?type=view&id=O6PUE9QWEE",NULL,NULL
122,5271,"RD",1.02,"H","VS1","EX","EX","EX","NONE",2256433645,"GIA","BH-11A",NULL,"HK","http://segoma.com/v.php?type=view&id=IUKC5HLJTT",NULL,NULL
123,4994,"RD",1.02,"H","VS2","EX","EX","EX","NONE",1253493799,"GIA","BH-14",NULL,"HK","http://segoma.com/v.php?type=view&id=HJU8QRG377",NULL,NULL
124,4569,"RD",1.1,"H","SI1","EX","EX","EX","NONE",2247423339,"GIA","BB-20",NULL,"HK","http://segoma.com/v.php?type=view&id=T0MNIXGAPP",NULL,NULL
125,3304,"RD",1,"H","SI2","EX","EX","VG","NONE",5256493861,"GIA","BH-11",NULL,"HK","http://segoma.com/v.php?type=view&id=Y37MHE73XX",NULL,NULL
126,2440,"RD",1,"H","I1","VG","VG","VG","NONE",1249535731,"GIA","BB-41A",NULL,"HK","http://segoma.com/v.php?type=view&id=O8YYNA3NQQ",NULL,NULL
127,2880,"RD",1,"H","I1","EX","EX","EX","NONE",1253065583,"GIA","BE2-3A",NULL,"HK","http://segoma.com/v.php?type=view&id=9NCDUXZ555",NULL,NULL
128,2828,"RD",1.01,"H","I1","EX","EX","EX","NONE",6252493683,"GIA","BH-22",NULL,"HK",NULL,NULL,NULL
129,2652,"RD",1.02,"H","I1","EX","EX","EX","NONE",6252447672,"GIA","BH-14A",NULL,"HK","http://segoma.com/v.php?type=view&id=87TE3BPDMM",NULL,NULL
130,4534,"RD",1.01,"I","VS1","EX","EX","EX","NONE",6251447358,"GIA","BG-10",NULL,"HK","http://segoma.com/v.php?type=view&id=9AHEN3EZTT",NULL,NULL
131,3878,"RD",1.01,"I","SI1","EX","EX","EX","NONE",2254422129,"GIA","BG-1C",NULL,"HK","http://segoma.com/v.php?type=view&id=PWORT7FVEE",NULL,NULL
132,2964,"RD",1,"I","SI2","EX","EX","EX","STG",7252329744,"GIA","BF2-7",NULL,"HK","http://segoma.com/v.php?type=view&id=HPYYYTHVZZ",NULL,NULL
133,2860,"RD",1,"I","SI2","EX","VG","VG","NONE",2246854211,"GIA","BD1-4B",NULL,"HK","http://segoma.com/v.php?type=view&id=G1DWPL92WW",NULL,NULL
134,3349,"RD",1.13,"I","SI2","EX","EX","EX","NONE",2247376398,"GIA","AW-3A",NULL,"HK","http://segoma.com/v.php?type=view&id=EKO943I1KK",NULL,NULL
135,2196,"RD",1,"I","I1","GD","VG","GD","FAINT",2234980765,"GIA","AU-1C",NULL,"HK","http://segoma.com/v.php?type=view&id=UE9FZYXTNN",NULL,NULL
136,2400,"RD",1.01,"I","I1","EX","EX","EX","NONE",6245646628,"GIA","AW-25",NULL,"HK","http://segoma.com/v.php?type=view&id=2JUQD9T299",NULL,NULL
137,3137,"RD",1.05,"I","I1","EX","EX","EX","FAINT",6252432339,"GIA","BG-14G",NULL,"HK","http://segoma.com/v.php?type=view&id=2N6GVC6PCC",NULL,NULL
138,6731,"RD",1.42,"J","VVS1","EX","EX","EX","NONE",5253447697,"GIA","BH-9",NULL,"HK","http://segoma.com/v.php?type=view&id=PGXM50FXHH",NULL,NULL
139,4111,"RD",1.15,"J","VS2","EX","EX","EX","NONE",6251447374,"GIA","BH-9A",NULL,"HK","http://segoma.com/v.php?type=view&id=LF3TWXY1GG",NULL,NULL
140,3053,"RD",1.12,"J","SI2","EX","EX","EX","NONE",6232173534,"GIA","AO4-24",NULL,"HK","http://segoma.com/v.php?type=view&id=90XL2DG99",NULL,NULL
141,2972,"RD",1.27,"L","VS2","EX","EX","EX","STG",2246747566,"GIA","BD2-6",NULL,"HK","http://segoma.com/v.php?type=view&id=FPA8LWIYUU",NULL,NULL
142,22131,"RD",1.52,"D","IF","EX","EX","EX","FAINT",6241618783,"GIA","BC2-12C",NULL,"HK","http://segoma.com/v.php?type=view&id=NJRCYN57TT",NULL,NULL
143,13126,"RD",1.51,"D","VS2","EX","EX","EX","NONE",6255192836,"GIA","BF1-6C",NULL,"HK","http://segoma.com/v.php?type=view&id=R18N3D7Z22",NULL,NULL
144,11416,"RD",1.51,"D","SI1","EX","EX","EX","NONE",1259243219,"GIA","BF1-9F",NULL,"HK","http://segoma.com/v.php?type=view&id=1BU03S86JJ",NULL,NULL
145,11625,"RD",1.56,"D","SI1","EX","EX","EX","NONE",1259240945,"GIA","BF2-14A",NULL,"HK","http://segoma.com/v.php?type=view&id=9ZG5YFCTDD",NULL,NULL
146,11627,"RD",1.81,"D","SI2","EX","EX","EX","FAINT",6252333397,"GIA","BF1-3F",NULL,"HK","http://segoma.com/v.php?type=view&id=G36XOXQ8SS",NULL,NULL
147,15709,"RD",1.52,"E","VVS2","EX","EX","EX","NONE",1253450159,"GIA","BH-1A",NULL,"HK","http://segoma.com/v.php?type=view&id=FS6UUQYM22",NULL,NULL
148,27475,"RD",1.92,"E","VVS2","EX","EX","EX","NONE",6252450726,"GIA","BH-1",NULL,"HK","http://segoma.com/v.php?type=view&id=R11OUZPNXX",NULL,NULL
